,Experiment,X,day,Date,Instrument,Drone,Wind_Dir,Wind_Dir.1,WindSpeed,Radiation,Temperature,RH,Pressure,PGClass,boat.lat,boat.lon,WS_max
1,Exp1,tilt,1,15/03/2021,aMCPC,HYBRiX,110.28,ESE,3.99,668.95,27.33,69.41,1009.7,C,-18.8515,147.7211,3.823
2,Exp2,tilt,2,17/03/2021,DiSCmini,M600,47.86,NE,3.83,2297.11,27.7,71.82,1010.5,B,-18.8518,147.7211,4.323
3,Exp3,tilt,2,17/03/2021,aMCPC,HYBRiX,47.9,NE,3.83,321.94,27.76,71.44,1008.2,C,-18.8515,147.7211,4.727
4,Exp4,horizontal,3,18/03/2021,DiSCmini,M600,108.85,ESE,3.14,572.28,27.52,71.21,1009.6,C,-18.85068,147.7172,2.765
5,Exp5,horizontal,3,18/03/2021,aMCPC,HYBRiX,77.68,ENE,4.78,821.64,27.1,73.35,1008.1,B,-18.8508,147.71711,1.998
6,Exp6,horizontal,4,19/03/2021,DiSCmini,M600,90.79,E,4.83,2081.26,27.37,68.69,1009.5,B,-18.8459,147.7031,5.201
7,Exp7,horizontal,4,19/03/2021,aMCPC,M600,113.31,ESE,5.06,698.52,26.12,76.62,1008,C,-18.8459,147.7031,5.64
8,Exp8,tilt,5,20/03/2021,aMCPC,M600,122.73,ESE,6.04,1635.56,27.4,64.59,1007.4,C,-18.8459,147.7031,6.267
9,Exp9,tilt,6,21/03/2021,aMCPC,M600,114.6,ESE,5.29,411.57,27.45,78.51,1008.4,D,-18.84579,147.7029,4.701
10,Exp10,tilt,7,22/03/2021,DiSCmini,M600,108.77,ESE,3.53,328.11,27.71,73.45,1008,C,-18.84669,147.7031,3.128
11,Exp11,tilt,8,23/03/2021,DiSCmini,M600,246.91,WSW,1.67,476.66,28.16,73.64,1005.8,B,-18.84684,147.7033,1.538
12,Exp12,tilt,9,24/03/2021,DiSCmini,M600,321.45,NW,4.44,1499.78,28.04,75.06,1004.9,B,-19.0244,147.5621,4.76
13,Control,,7,22/03/2021,aMCPC,M600,113.45,ESE,3.31,254.05,27.59,74.77,1008.2,C,-18.8467,147.70306,3.338
